Title,PDF,EPUB,Other Links
Η Κουλτούρα του Διαδικτύου,https://leanpub.com/s/27DFA0D2ED9848978B90EE182CE47E25.pdf,,
[GO],https://leanpub.com/s/36BF0B4647274B7B8ECA52CF08DD5519.pdf,,
Emergence of Agentic AI,https://leanpub.com/s/E47BFDF606C34D31ACA1E0A140337A93.pdf,https://leanpub.com/s/E47BFDF606C34D31ACA1E0A140337A93.epub,
No One is Coming to Save You,https://leanpub.com/s/9E3995A9392C4AFE944366CF0A783BB2.pdf,,
MCP Servers with OAuth,https://leanpub.com/s/F14761B8D6184A7EBB4A50ABB03C12BC.pdf,https://leanpub.com/s/F14761B8D6184A7EBB4A50ABB03C12BC.epub,
MINDFUL AI,https://leanpub.com/s/2378C9C6B77A4C64A4BEB34A2930E409.pdf,https://leanpub.com/s/2378C9C6B77A4C64A4BEB34A2930E409.epub,
Generative AI Professional Prompt Engineering Guide,https://leanpub.com/s/E0B7308C14F4481CBB6DDEBED912156D.pdf,,
BEYOND THE FIRST RING: AI-POWERED CONTACT CENTERS,https://leanpub.com/s/7F30A3CA4DCE453691847FD974252C35.pdf,https://leanpub.com/s/7F30A3CA4DCE453691847FD974252C35.epub,
Models of Learning and Optimization for Data Scientists,https://leanpub.com/s/829E684555FC43AE87EF175599157A47.pdf,,
4th Industrial Revolution,https://leanpub.com/s/924116EEE5C54994AB20382F35C38275.pdf,,
Machine Learning in Python for Visual and Acoustic Data-based Process Monitoring,https://leanpub.com/s/A75B6BF01C664C72AE0B94D0E855071D.pdf,,
10 AI Tools That Will Make You Unstoppable at Work in 2025,https://leanpub.com/s/952EE27CFBD740A7BD76E01055A692D8.pdf,,
50 AI Micro Gigs in a Weekend,https://leanpub.com/s/D11FFC85FF504DC584426326E773CA86.pdf,,https://leanpub.com/s/D11FFC85FF504DC584426326E773CA86.zip
Agent-Friendly Code: Architecting for AI-First Development,https://leanpub.com/s/B231CFF82F4F4A3EBEEE4EC865E466BB.pdf,https://leanpub.com/s/B231CFF82F4F4A3EBEEE4EC865E466BB.epub,
Start Competitive Programming!: Ace the USACO Bronze Competition,https://leanpub.com/s/3BFA6256B62847B89CE2A456F0D9C6EF.pdf,https://leanpub.com/s/3BFA6256B62847B89CE2A456F0D9C6EF.epub,https://leanpub.com/s/3BFA6256B62847B89CE2A456F0D9C6EF.zip
Go Faster,https://leanpub.com/s/B7219978B5F54C2EA12589D7DA06460E.pdf,https://leanpub.com/s/B7219978B5F54C2EA12589D7DA06460E.epub,
How to be a modern scientist,https://leanpub.com/s/3FAC8C83D7CD4099940407B501EB491B.pdf,https://leanpub.com/s/3FAC8C83D7CD4099940407B501EB491B.epub,
The Elements of Data Analytic Style,https://leanpub.com/s/33392F5F3C754EEDA555D8DA150DCFC1.pdf,https://leanpub.com/s/33392F5F3C754EEDA555D8DA150DCFC1.epub,
Public Speaking Tips,https://leanpub.com/s/884A055F8F8742F08D69127DB370D660.pdf,,
Frida handbook,https://leanpub.com/s/1AD1293A4672433785F6AF8A8CA02401.pdf,https://leanpub.com/s/1AD1293A4672433785F6AF8A8CA02401.epub,
Data Mesh Architecture,https://leanpub.com/s/A4DC2B959E8340D48F7E309BE5079CDC.pdf,,
Remote Mob Programming,https://leanpub.com/s/35C77FEBC2B247979642A29914AD8928.pdf,,
Strategic Bitcoin Savings,https://leanpub.com/s/A1ECFD21F2D544DFBCD9F97D6E9E1B0C.pdf,,
Rote Learning HTML & CSS,https://leanpub.com/s/37CC57D957A5480EB8DE2802821FE9CA.pdf,https://leanpub.com/s/37CC57D957A5480EB8DE2802821FE9CA.epub,
